T,f,Cin
-15.86,0.009708737864077669,9756.174945364686
-15.87,0.019417475728155338,19608.471388376314
-15.88,0.02912621359223301,29558.802241544392
-17.6,0.038834951456310676,39609.138095045826
-17.85,0.04854368932038835,49761.50955906383
-18.3,0.05825242718446602,60018.00972625292
-18.3,0.06796116504854369,70380.7967617995
-18.42,0.07766990291262135,80852.0966290949
-18.48,0.08737864077669903,91434.20595963184
-18.48,0.0970873786407767,102129.4950763798
-18.51,0.10679611650485436,112940.41118059542
-18.78,0.11650485436893204,123869.48171278567
-18.92,0.1262135922330097,134919.31789937065
-19.0,0.13592233009708737,146092.61849749586
-19.0,0.14563106796116504,157392.17375142922
-19.0,0.1553398058252427,168820.86957505197
-19.08,0.1650485436893204,180381.6919761281
-19.08,0.17475728155339806,192077.73173931937
-19.08,0.18446601941747573,203912.1893863222
-19.27,0.1941747572815534,215888.38043303788
-19.36,0.20388349514563106,228009.7409653827
-19.36,0.21359223300970873,240279.83355719704
-19.43,0.22330097087378642,252702.35355575418
-19.43,0.23300970873786409,265281.1357626143
-19.53,0.24271844660194175,278020.16154004406
-19.75,0.2524271844660194,290923.5663759519
-19.78,0.2621359223300971,303995.6479433047
-20.0,0.27184466019417475,317240.8746933253
-20.0,0.2815533980582524,330663.89502546604
-20.0,0.2912621359223301,344269.54708124464
-20.14,0.30097087378640774,358062.86921358044
-20.14,0.3106796116504854,372049.1111883203
-20.17,0.32038834951456313,386233.7461802769
-20.17,0.3300970873786408,400622.48363237653
-20.21,0.33980582524271846,415221.2830535292
-20.21,0.34951456310679613,430036.36883866985
-20.21,0.3592233009708738,445074.2462032104
-20.21,0.36893203883495146,460341.71833399875
-20.21,0.3786407766990291,475845.904869964
-20.21,0.3883495145631068,491594.2618381032
-20.21,0.39805825242718446,507594.6031845443
-20.35,0.4077669902912621,523855.12405632465
-20.35,0.4174757281553398,540384.4260075352
-20.4,0.42718446601941745,557191.5443239164
-20.55,0.4368932038834951,574285.9776832164
-20.55,0.44660194174757284,591677.7203950858
-20.65,0.4563106796116505,609377.2974944866
-20.65,0.46601941747572817,627395.8029971649
-20.79,0.47572815533980584,645744.9416653615
-20.79,0.4854368932038835,664437.0746775139
-20.91,0.49514563106796117,683485.2696482085
-20.91,0.5048543689320388,702903.35550531
-21.03,0.5145631067961165,722705.9828014898
-21.03,0.5242718446601942,742908.6901190092
-21.03,0.5339805825242718,763527.9773217449
-21.13,0.5436893203883495,784581.3865195771
-21.15,0.5533980582524272,806087.5917405407
-21.15,0.5631067961165048,828066.498459316
-21.27,0.5728155339805825,850539.3543113746
-21.27,0.5825242718446602,873528.8725360733
-21.29,0.5922330097087378,897059.3699462673
-21.29,0.6019417475728155,921156.9215253278
-21.53,0.6116504854368932,945849.5341156995
-21.65,0.6213592233009708,971167.3420999893
-21.82,0.6310679611650486,997142.8285032501
-21.87,0.6407766990291263,1.0238110755854115e6
-22.13,0.6504854368932039,1.051210049773526e6
-22.13,0.6601941747572816,1.0793809267402221e6
-22.13,0.6699029126213593,1.1083684636134745e6
-22.16,0.6796116504854369,1.1382214267631557e6
-22.16,0.6893203883495146,1.1689930854299094e6
-22.16,0.6990291262135923,1.2007417837444895e6
-22.16,0.7087378640776699,1.2335316065674804e6
-22.16,0.7184466019417476,1.2674331582431619e6
-22.23,0.7281553398058253,1.302524478054432e6
-22.31,0.7378640776699029,1.3388921222253067e6
-22.4,0.7475728155339806,1.3766324502081538e6
-22.56,0.7572815533980582,1.415853163361435e6
-22.83,0.7669902912621359,1.4566751578816902e6
-22.87,0.7766990291262136,1.499234772300486e6
-22.87,0.7864077669902912,1.5436865348713198e6
-22.95,0.7961165048543689,1.5902065505062127e6
-23.02,0.8058252427184466,1.6389967146756446e6
-23.27,0.8155339805825242,1.6902900090631952e6
-23.36,0.8252427184466019,1.744357230333471e6
-23.36,0.8349514563106796,1.8015156441734196e6
-23.53,0.8446601941747572,1.8621402659898545e6
-23.53,0.8543689320388349,1.9266787871274254e6
-23.53,0.8640776699029126,1.9956716586143768e6
-23.8,0.8737864077669902,2.0697796307680989e6
-23.86,0.883495145631068,2.149822338441636e6
-23.95,0.8932038834951457,2.2368337154312655e6
-24.1,0.9029126213592233,2.3321438952355906e6
-24.1,0.912621359223301,2.437504410893417e6
-24.11,0.9223300970873787,2.5552874465498e6
-24.11,0.9320388349514563,2.688818839174323e6
-24.65,0.941747572815534,2.8429695190015817e6
-24.68,0.9514563106796117,3.025291075795536e6
-24.68,0.9611650485436893,3.2484346271097455e6
-24.76,0.970873786407767,3.536116699561527e6
-24.95,0.9805825242718447,3.9415818076696913e6
-25.07,0.9902912621359223,4.634728988229636e6
-25.55,1.0,Inf
